id,name,dealDate,dealType,dealType2,dealSize,postValuation,dealSynopsis,dealStatus,dealFinancingStatus,dealBusinessStatus,primaryIndustryCode,verticals,description,hqLocation,companyWebsite,investor,company_id
1,Alys Pharmaceuticals,12-Feb-2024,Seed Round,Seed Round,100.00,150.00,"The company raised $100 million of Seed funding from Medicxi on February 12, 2024, putting the company's pre-money valuation at $50 million.",Completed,Venture Capital-Backed,Startup,Biotechnology,"Digital Health, Life Sciences","Developer of an immuno-dermatology platform designed to revolutionize treatment paradigms across various dermatological indications. The company offers an R&D-centric multi-platform pipeline, incorporating asset-centric operational structures, and focusing on each asset class within the dermatology vertical for optimized leverage and impact, enabling the healthcare industry to gain access to transformative systems for a spectrum of dermatological conditions.","Boston, MA",alyspharma.com,Medicxi,Alys Pharmaceuticals
2,Physical Intelligence,12-Mar-2024,Seed Round,Seed Round,70.00,,"The company raised $70 million of seed funding in a deal led by Thrive Capital on March 12, 2024. OpenAI, Sequoia Capital, Khosla Ventures, and Lux Capital also participated in the round.",Completed,Venture Capital-Backed,Startup,Electrical Equipment,"Artificial Intelligence & Machine Learning, Robotics and Drones","Developer of a general-purpose AI company intended to bridge the gap between artificial intelligence and the physical world. The company develops foundation models and learning algorithms that can power a wide range of robots and physically actuated devices, enabling robots to perform tasks across various applications.","San Francisco, CA",www.physicalintelligence.company,Khosla Ventures,Physical Intelligence
3,Physical Intelligence,12-Mar-2024,Seed Round,Seed Round,70.00,,"The company raised $70 million of seed funding in a deal led by Thrive Capital on March 12, 2024. OpenAI, Sequoia Capital, Khosla Ventures, and Lux Capital also participated in the round.",Completed,Venture Capital-Backed,Startup,Electrical Equipment,"Artificial Intelligence & Machine Learning, Robotics and Drones","Developer of a general-purpose AI company intended to bridge the gap between artificial intelligence and the physical world. The company develops foundation models and learning algorithms that can power a wide range of robots and physically actuated devices, enabling robots to perform tasks across various applications.","San Francisco, CA",www.physicalintelligence.company,Lux Capital,Physical Intelligence
4,Physical Intelligence,12-Mar-2024,Seed Round,Seed Round,70.00,,"The company raised $70 million of seed funding in a deal led by Thrive Capital on March 12, 2024. OpenAI, Sequoia Capital, Khosla Ventures, and Lux Capital also participated in the round.",Completed,Venture Capital-Backed,Startup,Electrical Equipment,"Artificial Intelligence & Machine Learning, Robotics and Drones","Developer of a general-purpose AI company intended to bridge the gap between artificial intelligence and the physical world. The company develops foundation models and learning algorithms that can power a wide range of robots and physically actuated devices, enabling robots to perform tasks across various applications.","San Francisco, CA",www.physicalintelligence.company,OpenAI,Physical Intelligence
5,Physical Intelligence,12-Mar-2024,Seed Round,Seed Round,70.00,,"The company raised $70 million of seed funding in a deal led by Thrive Capital on March 12, 2024. OpenAI, Sequoia Capital, Khosla Ventures, and Lux Capital also participated in the round.",Completed,Venture Capital-Backed,Startup,Electrical Equipment,"Artificial Intelligence & Machine Learning, Robotics and Drones","Developer of a general-purpose AI company intended to bridge the gap between artificial intelligence and the physical world. The company develops foundation models and learning algorithms that can power a wide range of robots and physically actuated devices, enabling robots to perform tasks across various applications.","San Francisco, CA",www.physicalintelligence.company,Sequoia Capital,Physical Intelligence
6,Physical Intelligence,12-Mar-2024,Seed Round,Seed Round,70.00,,"The company raised $70 million of seed funding in a deal led by Thrive Capital on March 12, 2024. OpenAI, Sequoia Capital, Khosla Ventures, and Lux Capital also participated in the round.",Completed,Venture Capital-Backed,Startup,Electrical Equipment,"Artificial Intelligence & Machine Learning, Robotics and Drones","Developer of a general-purpose AI company intended to bridge the gap between artificial intelligence and the physical world. The company develops foundation models and learning algorithms that can power a wide range of robots and physically actuated devices, enabling robots to perform tasks across various applications.","San Francisco, CA",www.physicalintelligence.company,Thrive Capital,Physical Intelligence
7,Antithesis,13-Feb-2024,Seed Round,Seed Round,47.00,215.00,"The company raised $47 million of seed funding in a deal led by First In, Tamarack Global and Amplify Partners on February 13, 2024, putting the company's pre-money valuation at $168 million. Other undisclosed investors also participated in the round. The funds will be used in sales and marketing while expanding the team.",Completed,Venture Capital-Backed,Generating Revenue,Business/Productivity Software,SaaS,"Developer of quality assurance software intended to facilitate autonomous software testing. The company's software searches for software bugs in a controlled environment where all bugs are reproducible and offer fault tolerance bugs, enabling clients to detect failures of their software that occur under specific network, hardware, or timing conditions.","Vienna, VA",www.antithesis.com,Amplify Partners,Antithesis
8,Antithesis,13-Feb-2024,Seed Round,Seed Round,47.00,215.00,"The company raised $47 million of seed funding in a deal led by First In, Tamarack Global and Amplify Partners on February 13, 2024, putting the company's pre-money valuation at $168 million. Other undisclosed investors also participated in the round. The funds will be used in sales and marketing while expanding the team.",Completed,Venture Capital-Backed,Generating Revenue,Business/Productivity Software,SaaS,"Developer of quality assurance software intended to facilitate autonomous software testing. The company's software searches for software bugs in a controlled environment where all bugs are reproducible and offer fault tolerance bugs, enabling clients to detect failures of their software that occur under specific network, hardware, or timing conditions.","Vienna, VA",www.antithesis.com,First In,Antithesis
9,Antithesis,13-Feb-2024,Seed Round,Seed Round,47.00,215.00,"The company raised $47 million of seed funding in a deal led by First In, Tamarack Global and Amplify Partners on February 13, 2024, putting the company's pre-money valuation at $168 million. Other undisclosed investors also participated in the round. The funds will be used in sales and marketing while expanding the team.",Completed,Venture Capital-Backed,Generating Revenue,Business/Productivity Software,SaaS,"Developer of quality assurance software intended to facilitate autonomous software testing. The company's software searches for software bugs in a controlled environment where all bugs are reproducible and offer fault tolerance bugs, enabling clients to detect failures of their software that occur under specific network, hardware, or timing conditions.","Vienna, VA",www.antithesis.com,Tamarack Global,Antithesis
10,Blue Laser Fusion,07-Mar-2024,Seed Round,Seed Round,37.50,,"The company raised $37.5 million of seed funding from Itochu, Maezawa Fund, Jafco, SPARX Group Company, Waseda University Ventures and SoftBank Group on March 7, 2024.",Completed,Venture Capital-Backed,Generating Revenue,Alternative Energy Equipment,CleanTech,"Operator of an energy management company intended to commercialize laser fusion based on the invention of its own laser and fusion reactor. The company develops novel laser fusion technology using safe hydrogen-boron fuel called ""HB11"" for energy generation in power grids, providing the energy sector with sustainable and environmentally friendly energy generation alternatives.","Goleta, CA",www.bluelaserfusion.com,Itochu,Blue Laser Fusion
